ProjectID,ProjectName,Description,Category
453,Reconstruction of Power Distribution at Wards Island WWTP,"Upgrades significant portions of the electrical distribution infrastructure including 5 power center installations, 23 motor control centers, 6 automatic transfer switches and 35 transformers throughout the plant, main feeders, breakers",Wastewater Treatment  
454,Bainbridge Avenue Trunk Water Main,"Replacement Trunk Water Main in Bainbridge Ave, Bronx",Water Supply  
456,"Gilboa Dam Reconstruction, Phase V","This is the final phase of the Gilboa Dam reconstruction project and includes reforestation, final site stabilization and wetlands mitigation measures.",Water Supply  
457,Investigation and Remediation of Corrosion in Water Tunnel Facilities,Design Services for Investigation and Remediation of Corrosion in Water Tunnel Facilities,Water Supply  
476,"Grand Concourse Reconstruction, Phase 4 (Great Streets)","Reconstruction of Service Roads and milling and resurfacing of the main roadways on Grand Concourse from E175 Street to E Fordham Road, including median works and ped refuges.",Streets and Roadways  
478,Catskill Aqueduct Repair and Rehabilitation,"Project to ensure the reliability of the 74 mile upper Catskill Aqueduct, including replacement of mechanical components, leak mitigation, and biofilm removal/condition assessment.",Water Supply  
502,"FDR Rehabilitation, Northbound (East 42nd to 49th Streets)",Repair the northbound FDR from East 42nd to 49th Streets.,Bridges  
503,West Tremont Avenue over Metro North Railroad,"Repair the West Tremont Avenue bridge over the Metro North line, located in the Bronx.",Bridges  
504,"5th Avenue Bridge Reconstruction over LIRR and Sea Beach, Brooklyn","Replace the 5th Avenue Bridge over LIRR & Sea Beach, Brooklyn.",Bridges  
506,Pelham Parkway Bridge Reconstruction over Hutchinson Parkway,"Replace the Pelham Parkway bridge over Hutchinson Parkway, Bronx.","Bridges, Streets and Roadways  "
509,Brooklyn Civil Court move to 210 Joralemon St,Relocation of Brooklyn Civil and Housing Court to 210 Joralemon St.,Public Safety and Criminal Justice  
510,Brooklyn Supreme Court Fire Alarm System Upgrade,New Fire Alarm and Sprinkler System at 360 Adams Street Kings County Supreme Courhouse,Public Safety and Criminal Justice  
516,"Coney Island Area, Phase 3A","Reconstruction of Storm and Sanitary sewers, Trunk and Distribution Water Main in Coney Island Area -Phase 3A, Borough of Brooklyn.",Industrial Development  
519,"Ped Safety Upgrades on Atlantic Avenue, Phase 2","Safety Improvements on Atlantic Ave from Conduit Avenue to Rockaway Blvd, Phase 2, Brooklyn.",Streets and Roadways  
522,Power Distribution at Bowery Bay WWTP,Power Distribution at Bowery Bay WWTP.,Wastewater Treatment  
534,Grand Street Bridge over Newtown Creek,Replace the existing structure (swing-type bridge) with a new bridge; located between Gardner Avenue in Brooklyn and 47th Street in Queens.,"Bridges, Streets and Roadways  "
536,Park Avenue Tunnel (Murray Hill),Reconstruction of Park Avenue Tunnel,Bridges  
537,Carl Schurz Park Promenade over FDR (East 81st to 90th Streets),Replace the Promenade over FDR between East 81st to 90th Streets in Manhattan.,Bridges  
539,Boston Road Bridge Over Hutchinson River Rehabilitation,"Rehabilitation of Boston Road Bridge over Hutchinson River, located in the Bronx.","Bridges, Streets and Roadways  "
540,Battery Park Underpass Emergency Relief Betterments,Resiliency betterments for Battery Park and West Street underpasses.,Bridges  
541,Shore Road Bridge over Hutchinson River,Replace the Shore Road Bridge over the Hutchinson River with a new bridge.,"Bridges, Streets and Roadways  "
544,Coler Specialty Hospital Priority Mitigation Projects,The priority mitigation projects at Coler include key critical mitigation projects to improve the resiliency of the campus.,Health and Hospitals  
545,Bellevue Medical Center Priority Mitigation Projects,"Priority mitigation projects for the repair/restoration and hazard mitigation for Bellevue Hospital, damaged during Superstorm Sandy",Health and Hospitals  
550,Construction of Gowanus CSO retention FAC Superfund Site,"CSO Facilities, bulkheads, pilots and other requirements to comply with Gowanus Canal Superfund Adminstrative Orders",Industrial Development  
554,Kensico Eastview Connection Tunnel Construction,The redundant connection between Kensico and Hillview Reservoirs provides resiliency against planned or unplanned tunnel outages to deliver water.,Water Supply  
556,Metropolitan Avenue Bridge over CSX Transport,"Replace the Metropolitan Avenue bridge over CSX Transport, Queens.","Bridges, Streets and Roadways  "
558,Belt System - Cross Island over 115th Avenue/Dutch Broadway,"Repair the Cross Island bridge over 115th Avenue/Dutch Broadway, Queens.",Bridges  
560,Brooklyn Sanitation Garage Construction: Community District 3,Construction of new Sanitation garage facility for services to Brooklyn Community District 3 to be located at Warsoff Place in Brooklyn,Sanitation  
561,Coney Island Hospital CSS Building and Perimeter Flood Protection,"Renovation of CIH to advance the CityÃ¢â‚¬â„¢s resiliency plan, repair damages,  and protect the hospital from future disasters.",Health and Hospitals  
562,Metropolitan Hospital Perimeter Flood Protection,Flood mitigation system to protect Metropolitan's campus from future flooding due and sea level rise,Industrial Development  
573,"Bronx Sanitation Garage Construction: Community District 9, 10, 11","Construction of new Sanitation garage facility to serve Bronx community districts 9, 10, and 11 to be located at Zerega Avenue in the Bronx",Sanitation  
574,Sunset Park Infrastructure,"This project is construction of infrastructure and streetscape improvements in Sunset Park from 37th to 43rd Streets, between the Gowanus Expressway and the waterfront - to activate the waterfront and promote future development.",Industrial Development  
575,Lower Concourse Initiative,The Project will improve the roadways and pedestrian facilities. The Project will consist of roadway reconstruction within Exterior Street between East 138th Street and East 150th Street.,Industrial Development  
580,Replacement of The Digester at The Hunts Point WWTP,Construction of New Anaerobic Digesters,Wastewater Treatment  
584,Brooklyn Bridge - Approach Arches Rehabilitation,"Repair approach arches, towers, and ramp substructures of Brooklyn Bridge.",Bridges  
586,Central Park Light Infrastructure,"Install, remove, and furnish equipment for electrical work associated with traffic signals, lighting, and distribution systems in Central Park, Manhattan.","Parks, Streets and Roadways  "
587,Concourse Village Avenue over Metro North,"Replace the Concourse Village Avenue bridge over Metro North, Bronx",Bridges  
588,East 156th Street Bridge over Access to Housing,"Replace the East 156th Street bridge over Access to Housing, Bronx.","Bridges, Streets and Roadways  "
592,Henry Hudson Parkway over Amtrak (Northbound),Replace the Ramp to northbound Henry Hudson Parkway over Amtrak in Manhattan.,Bridges  
594,Queensboro Bridge Roadway Replacement over East River,"This project includes the replacement of the upper roadway's deck on the main bridge along with steel repairs, fire standpipes, and lighting upgrades.","Bridges, Streets and Roadways  "
599,Williamsburg Bridge Miscellaneous Repairs and Painting,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",Bridges  
617,BROAD CHANNEL BULKHEADS - PH II,"Reconstruction of West 14, 15, 16, 17, 18 and 19th Streets from Crossbay Blvd to to Dead End",Industrial Development  
618,RECONSTRUCTION OF QUEENS BLVD - PHASE 1,Reconstruction of Queens Blvd between Roosevelt Ave and 73rd St. (Segment 1) Great Streets Vision Zero.,Industrial Development  
619,RECONSTRUCTION OF QUEENS BLVD - PHASE 2,Reconstruction of Queens Blvd  between 73rd St and Eliot Avenue (Segment 2). Great Streets Vision Zero,Industrial Development  
623,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,"Reconstruction of E 177th Street /Devoe Ave etc., Bronx","Industrial Development, Streets and Roadways  "
631,CONSTRUCTION OF BMPs NC 6 AND 15 - SI,Storm and Santary Sewers Installation and Water Main replacement in Bedford Avenue between Mason Avenue and Nugent Street.  Project includes Bluebelt Best Management Practice storm sewer outlet.,Industrial Development  
634,New 40th Precinct,"New 40th Precinct at 567 E 149 Street, Bronx, NY 10455.  Design and build of a 43,000 SF on an existing City-owned property.",Public Safety and Criminal Justice  
639,253 Broadway Landmark's Space Renovations,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",Other Government Facilities  
651,"STM & SAN SWR, WILLET PT BLVD WHITESTONE AREA, PH2","Whitestone Area, Willets Point Blvd, Queens",Sewers  
652,"STM & SAN SWR, N.B. WHITESTONE EXPWY SERV RD, PH 3",Whitestone Area Storm and Sanitary Sewers Phase 3,Sewers  
665,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,"Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.",Other Government Facilities  
667,The Reconstruction of The Lower Catskill Aqueduct,"Reconstruction of Aqueduct structures; Replacement of mechanical equipment; cleaning the aqueduct interior & rehabilitation & repair of cracks & leaks. All relevent assessments, investigations, piloting, plans and reports.",Water Supply  
669,Hillview Reservoir Chemical Addition Facilities,This project provides new chemical addition and support facilities at Hillview Reservoir.,Water Supply  
670,Hillview Reservoir Flow Control Improvements,This project provides improvements to the existing structures and mechanical flow control systems at Hillview Reservoir.,Water Supply  
671,Storm Mitigation Loan Program at Bowery Bay,SMLP portion for Bowery Bay WWTP as part of the New York City Wastewater Resiliency Program.,Wastewater Treatment  
672,Storm Mitigation Loan Program at Hunts Point,SMLP portion for Hunts Point WWTP as part of the New York City Wastewater Resiliency Program.,Wastewater Treatment  
689,Raise Shorelines Citywide,The design and construction of shoreline reconstruction projects necessary to provide Citywide protection from future flooding caused by elevated seal elvels.,Industrial Development  
696,West 35th Street over Amtrak,"Repair the West 35th Street bridge over Amtrak, Manhattan",Bridges  
701,East 174th Street over Sheridan Expressway - Amtrak,"Repair the East 174th Street bridge over Sheridan Expressway/ AMTRAK, the Bronx",Bridges  
703,Pelham Bay Equestrian Park over Amtrak,"Repair the Pelham Bay Equestrian Park bridge over Amtrak, the Bronx",Bridges  
708,Harlem River Drive Ramp Reconstruction (George Washington Bridge),"Repair the Harlem River Drive Ramp to George Washington Bridge over Harlem River Drive Southbound (Trans-Manhattan Expressway), Manhattan","Bridges, Streets and Roadways  "
709,Beverly Road over Brighton Subway Line,"Repair the Beverly Road bridge over BMT Subway Brighton,  Brooklyn",Bridges  
720,Reconstruction of the West and North Docks at the OH WWTP,RECONSTRUCTION OF SEA WALL AND DOCK AT OWLS HEAD WWTP,Wastewater Treatment  
721,Storm Mitigation Loan Program at Red Hook,SMLP portion for Red Hook WWTP as part of the New York City Wastewater Resiliency Program.,Wastewater Treatment  
722,Throgs Neck Pumping Station Rehabilitation and Improvements,Throgs Neck Pumping Station Rehabilitation and Improvements,Wastewater Treatment  
723,Revenue Cycle Implementation,"The Epic Revenue Cycle system will be enterprise-wide and help increase revenue (by proper billing of services provided) in addition to ensuring patient safety and improved patient care, a top priority in workflows.","Health and Hospitals, IT  "
730,Far Rockaway New Facility,"Construction of a new 18,000 sq.ft. Branch Library employing the latest technology and sustainable design.",Other Government Facilities  
741,"Reconstruction Of Arthur Kill Road, Phase I",Reconstruction of Arthur Kill Road From Clark Avenue to Richmond Avenue including widening of roadway,Streets and Roadways  
747,Croton Above Ground Structure And Landscaping,Croton Above Ground Structure And Water Management Systems,Industrial Development  
749,Porpoise Bridge In Flushing Meadows-Corona Park,PORPOISE BRIDGE IN FLUSHING MEADOWS-CORONA PARK,Bridges  
750,Upgrades At Brooklyn Animal Shelter,Brooklyn Animal Care Center,Other Government Facilities  
755,Reconstruction Of Trinity Pl,Reconstruction of Trinity Place from Morris Street to Cedar Street,Streets and Roadways  
760,"Construction Of Sanitary Sewers, Storm Sewers (Bm","Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area",Sewers  
762,New 116Th Pct,"New 116Th Precinct at 244-04 North Conduit Avenue, Queens, NY 11442.  Design and build of a 45,500 SF building on existing City owned property.",Public Safety and Criminal Justice  
768,"Water Main Replacement In 222 Street, Queens",Water Main replacement in 222th Street,Water Supply  
769,Staten Island 1 & 3 Garage Construction & Rehab,The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.,Sanitation  
770,Rehab Of Queens District 11/13 Sanitation Garage,Rehab Of Queens District 11/13 Sanitation Garage,Sanitation  
773,Coastal Resiliency Area 1 - East 23Rd St. To Montg,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,"Industrial Development, Parks  "
776,Storm & Combined Sewers In 229 Street,High Level Storm and Combined Sewer in 229th Street and 230th Place Between 145th Avenue and 147th Ave. (Spine Springfield/Laurelton Blvd),Sewers  
784,Storm Sewer Outlet In 224Th St,Storm sewer at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Sewers  
788,"Combined Sewer In 70Th Street, Queens","COMBINED SEWER IN 70TH STREET, QUEENS",Sewers  
789,"Combined Sewer And Wm Work In 71 Street, Queens",Replacement of Combined Sewers in 71st Street between Juniper Blvd South and Queens Midtown Expressway; including water main work.,Sewers  
790,Storm Sanitary Sewer Repl Springfield Gardens,"Springfield Gardens Reconstruction Phase 5 including Storm and Sanitary sewer extensions and upgrades, Water Main replacement on 146th Ave from 153rd Place to 159th St. (Design Consultant)",Sewers  
791,150Th St Spine Phase 1 Storm Sewer At Bergen Basin,"SOUTHEAST QUEENS 150TH STREET SPINE, PHASE 1.  TRUNK STORM SEWER AND OUTFALL AT BERGEN BASIN FOR THE 150TH STREET TRUNK SEWER WHICH SHARES AN OUTFALL WITH THE GUY R BREWER TRUNK SEWER",Sewers  
792,New Storm Sewer N Conduit Av-Baisley Blvd,"Southeast Queens Guy Brewer Spine I. Storm, Sanitary and WM in North Conduit Ave bet Bailsey Blvd and Guy Brewer Blvd. (Spine Guy Brewer Blvd)",Sewers  
793,Sewer When & Where Contract In S.E. Queens,Construction of Storm and Sanitary sewers at various locations in Queens Priority Grid 13 & 18,Sewers  
794,Sewer When & Where Seq,"NEW STORM SEWER CONSTRUCTION, REPLACEMENT OR UPGRADES TO SANITARY SEWERS AND WATER MAINS IN PROJECT AREAS. GREEN INFRASTRUCTURE PROJECTS TO BE DONE IN CONJUNCTION WITH THESE CAPITAL IMPROVEMENTS",Sewers  
801,West 79th Street over Amtrak and Rotunda Complex Rehabilitation,Rehabilitation of the W. 79th St Bridge over Amtrak and Rotunda Complex,"Bridges, Streets and Roadways  "
811,East 180th Street over Metro North Railroad (Harrison Line),"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Bridges  
833,4Th Ave. Safety Improvements Phase II-Vision Zero,"The scope includes expanding and raising the existing medians (currently in temporary materials) and includes sidewalk extensions, street trees (where feasible), benches, and wayfinding.",Streets and Roadways  
834,Reconstruction of the Ashokan Headworks,"CAT-213FAC Reconstruction of the Ashokan Reservoir Headworks.  This Contract is for design services.  The Headworks include the Upper and Lower Gate Chambers, the Screen Chamber and inter-connecting aquedcuts.",Water Supply  
837,Supreme Courthouse Fire Alarm/ Protection Upgrade,"Fire Alarm Upgrade and Sprinkler Installation at 851 Grand Concourse, Bronx Supreme Court.",Public Safety and Criminal Justice  
840,"Asphalt Plant, 30-01 Harper St, Queens Demo/Cons","Demolition and rebuild of the existing structures housing the equipment and related facilities necessary for the production, storage and distribution of asphalt at the NYC Harper Street Asphalt Plant facility. All of the existing equipment, storage facilities, and related buildings will be replaced with a new state of the art plant. In addition, the work will involve installing sanitary and storm drainage systems to comply with current government regulatory standard",Industrial Development  
841,NEW UTRECH LIBRARY MAJOR RENOVATIONS,"Comprehensive interior and exterior renovation, which includes HVAC, BMS, FA, roof and envelope.",Libraries  
843,SOUTH BROOKLYN CROSSTOWN SBS,Southern Brooklyn Crosstown Bus Roue Improvements,Industrial Development  
845,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321","Roadway reconstruction including new sewers, water main, street lighting and traffic signals: Columbia Street south of Hamilton Avenue.",Streets and Roadways  
847,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,Streets and Roadways  
849,HIGH LEVEL STM SEWERS IN GOWANUS CANAL AREA-PH II,High Level Storm Sewer Installation and Water Main Replacement in Gowanus Canal Phase II in the Borough of Brooklyn.,Sewers  
850,253 Broadway NYC. Fire Alarm Raplacement,"Installation of new building wide fire alarm, sprinkler distribution and BMS system throughout building.",Other Government Facilities  
851,FUEL TANK REPLACEMENT,"Upgrading, decommissioning, or replacement of petroleum product storage tanks at approximately 50 sites (multi-agency) in Brooklyn and Staten Island.",Industrial Development  
855,TRENCH RESTORATION BROOKLYN,Trench Restoration including full reconstruction,Industrial Development  
858,Orchard Beach Pavilion,"The restoration of the existing landmarked Orchard Beach Pavilion (located in Bronx, NY) which includes the construction of an ADA ramp at the main entrance of the Pavilion to improve accessibility to the beach passageway.",Parks  
859,Manhattan Greenway: East Midtown,The East Midtown Waterfront Greenway project involves the creation of a waterfront esplanade between East 53rd and East 59th Streets.,Parks  
860,Manhattan Greenway: Harlem River,"The Manhattan Greenway Harlem River project, between West 125th Street and Swindler Cove, involves the creation of a park, greenway, and the reconstruction of the bulkhead.",Parks  
861,West 33rd Street,Regrading and reconstruction of 33rd Street Viaduct between 11th and 12th Avenue..,Streets and Roadways  
862,79th St Boat Basin,Reconstruction of bulkhead and piers at 79th St Boat Basin on behalf of NYCDPR .,Parks  
863,Network Infrastructure Refresh Program,"This project has a two-fold basis: 1) The ongoing Network Refresh which is needed to replace aging, end-of-life, end-of-support equipment across the NYC H+H. 2) Networking capacity needed to support the Electronic Medical Records system.","Health and Hospitals, IT  "
876,Brooklyn Public School 730 New Construction,Design and construction of a new school,Schools  
893,Bronx Animal Care Center,"Bronx Animal Care Center & Veterinary Clinic is a new 50,000 SF facility that will be housing admissions, adoptions, medical services, and boarding for approximately 70 dogs, 140 cats, 30 rabbits and 20 animals or other species. In addition to the animal housing, the Bronx Animal Care Center will include a wildlife area to rehabilitate wild birds, academic partnership for youth, and enhanced senior services. Site work will include yards to facilitate dog adoptions, covered exercise runs, courtyards, and parking for staff, visitors, and shelter vehicles, as well as site lighting and low maintenance planting throughout. The building and associated landscape are to achieve LEED Gold standards.",Health and Hospitals  
896,Studio Museum in Harlem New Building,Construction of new museum building.,Arts and Culture  
898,FUEL TANK & SUMP REPLACEMENTS - QUEENS,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,Industrial Development  
899,FUEL TANK & SUMP REPLACEMENTS - BROOKLYN,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,Industrial Development  
900,FUEL TANK & SUMP REPLACEMENTS - MANHATTAN/S.I.,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,Industrial Development  
901,FUEL TANK & SUMP REPLACEMENTS - BRONX,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,Industrial Development  
906,Headworks Improvements at Tallman Island,"Headworks Improvements at Tallman Island intended to bring the headworks into a state of good repair. The headworks was last upgraded in 1979, and the service lives of critical systems are nearing their endpoints.",Industrial Development  
907,Power Distribution Improvements at Tallman Island,Power Distribution Improvements,Industrial Development  
909,DOH Public Health Lab,"The construction of an approximately 230,000 sq ft municipal Public Health Lab building for DOHMH.",Health and Hospitals  
932,Union Turnpike over Cross Island Parkway,Rehabilitation  of Union Turnpike  Bridge over Cross Island Parkway,Bridges  
935,FUEL TANK REPLACEMENT - 71,"Upgrading, decommissioning, or replacement of petroleum product storage tanks at 38 sites (multi-agency) in Manhattan.",Industrial Development  
942,Reconstruction Of Primary Tanks at Bowery Bay WPCP,Replacement of Primary Settling Tanks collection system mechanisms and miscellaneous improvements at Bowery Bay WRRF.,Wastewater Treatment  
943,Bronx River CSO Reduction,The project will provide hydraulic relief to Outfalls HP-007 and HP-009 by creating new sewers parallel to the existing combined sewers. It will also provide floatables control at Outfall HP-011 by replacing Regulator 5.,Wastewater Treatment  
944,CSO Hutchinson River Disinfection Facility,"Construction of disinfection/de-chlorination facility thru 14'x10' conduit ~ 1,650' long, with detention times of 5 min/30 sec, for a design flow rate of 300 MGD for seasonal operation (May-Oct). Floatables control for 100 MGD will also be provided.",Wastewater Treatment  
945,North River WWTP Primary Treatment Improvements,Rehabilitation of the Primary Settling Tanks at North River Wastewater Resources Recovery Facility.,Wastewater Treatment  
946,Owls Head WWTP Final Settling System Rehabilitation,Rehabilitation of the Final Settling Tanks at Owls Head Wastewater Resources Recovery Facility.,Wastewater Treatment  
947,Reconstruct Final Settling System Equipment at Port Richmond,Rehabilitation of the Final Settling Tanks at Port Richomnd Wastewater Resources Recovery Facility.,Wastewater Treatment  
948,Reconstruct Main Sewage Pump Controls at Port Richmond WWTP,"Reconstruction of main sewage pumps and ancillary components including suction valves, suction piping, seal water system, pressure gauges, suction header, etc. New MSP's should meet the new design parameter of N+2 redundancy during wet weather flow",Wastewater Treatment  
949,Brooklyn P.S. at 4302 4TH AVE,Design and construction of a new school,Schools  
956,Bronx Sanitation Garage Rehabilitation: Community District 12,"Rehabilitation of garage that serves Bronx Community District 12 located at 1635 East 233rd Street, Bronx.",Sanitation  
960,Douglaston New Facility,New library facility for the Douglaston/Little Neck community.,Libraries  
961,Lower Concourse: Park,"Four-acre waterfront park in Lower Concourse, Bronx.",Parks  
962,New Stapleton Waterfront: Phases 2 and 3,Mixed-use residential community on Staten Island's North Shore.,Industrial Development  
963,Tompkinsville Esplanade,Esplanade from Stapleton to the Lighthouse Museum and Pier for DOT Dockbuilders.,Parks  
967,Queens IS at 47-10 Barnett Avenue Addition,Design and construction of a new school,Schools  
970,Queens PS 206  New Construction,Design and construction of a new school,Schools  
971,Bronx Sanitation Garage Rehabilitation: Community District 6,"Rehabilitation of garage, broom garage and salt shed that serves Bronx Community District 6 located at 800 East 176th Street, Bronx.",Sanitation  
973,East River Esplanade Stabilization and Reconstruction Phase 3,This project will stabilize and reconstruct portions of the East River Esplanade from East 62nd Street to East 63rd Street and from East 90th Street to East 94th Street.,Parks  
974,"Red Hook Recreation Area Track 1, Soccer Fields 3-5, and Ballfields 1-4 Reconstruction",This project will reconstruct the track & field and convert three soccer fields and four ballfields from natural turf to synthetic turf at Red Hook Recreation Area.,Parks  
